STATEFIP,YEAR,COUNT(MH1),MH1
1,2013,2139,-9
1,2013,6252,1
1,2013,4532,2
1,2013,12546,3
1,2013,2911,4
1,2013,719,5
1,2013,16224,6
1,2013,27650,7
1,2013,1822,8
1,2013,803,9
1,2013,45,10
1,2013,17126,11
1,2013,1764,12
1,2013,2829,13
1,2014,391,-9
1,2014,5816,1
1,2014,4572,2
1,2014,12227,3
1,2014,3000,4
1,2014,732,5
1,2014,15817,6
1,2014,26308,7
1,2014,1730,8
1,2014,830,9
1,2014,40,10
1,2014,17275,11
1,2014,1426,12
1,2014,4310,13
1,2015,277,-9
1,2015,7441,1
1,2015,5188,2
1,2015,13299,3
1,2015,2914,4
1,2015,639,5
1,2015,16897,6
1,2015,28054,7
1,2015,1802,8
1,2015,978,9
1,2015,44,10
1,2015,17529,11
1,2015,2472,12
1,2015,4048,13
1,2016,9787,-9
1,2016,7153,1
1,2016,5682,2
1,2016,12736,3
1,2016,1837,4
1,2016,501,5
1,2016,12250,6
1,2016,28557,7
1,2016,1904,8
1,2016,704,9
1,2016,305,10
1,2016,17307,11
1,2016,12,12
1,2016,5585,13
1,2017,5644,-9
1,2017,7552,1
1,2017,5780,2
1,2017,13059,3
1,2017,1419,4
1,2017,397,5
1,2017,12089,6
1,2017,27545,7
1,2017,1877,8
1,2017,852,9
1,2017,440,10
1,2017,17537,11
1,2017,6,12
1,2017,9762,13
1,2018,729,-9
1,2018,8155,1
1,2018,5900,2
1,2018,13669,3
1,2018,1258,4
1,2018,388,5
1,2018,11831,6
1,2018,27587,7
1,2018,1992,8
1,2018,863,9
1,2018,437,10
1,2018,17747,11
1,2018,7,12
1,2018,11861,13
1,2019,205,-9
1,2019,6865,1
1,2019,5567,2
1,2019,10809,3
1,2019,953,4
1,2019,297,5
1,2019,10429,6
1,2019,41070,7
1,2019,1591,8
1,2019,575,9
1,2019,320,10
1,2019,15119,11
1,2019,5,12
1,2019,9398,13
1,2020,54,-9
1,2020,8405,1
1,2020,6667,2
1,2020,13161,3
1,2020,1188,4
1,2020,267,5
1,2020,11427,6
1,2020,28710,7
1,2020,1996,8
1,2020,429,9
1,2020,403,10
1,2020,17352,11
1,2020,4,12
1,2020,7464,13
1,2021,248,-9
1,2021,8099,1
