STATEFIP,YEAR,AGE,COUNT(MH1),MH1
1,2013,-9,207,11
1,2013,-9,1,7
1,2013,-9,1,8
1,2013,-9,14,6
1,2013,-9,3,11
1,2013,-9,86,11
1,2013,1,9849,7
1,2013,1,10,3
1,2013,1,8,3
1,2013,1,12,13
1,2013,1,3,3
1,2013,1,13,3
1,2013,1,3,11
1,2013,1,9,6
1,2013,1,6,3
1,2013,1,16,6
1,2013,1,2,3
1,2013,1,3525,3
1,2013,2,4892,4
1,2013,2,4,3
1,2013,2,7,3
1,2013,2,9,7
1,2013,2,3,3
1,2013,2,10,3
1,2013,2,4,3
1,2013,2,7,6
1,2013,2,1,2
1,2013,2,9,3
1,2013,2,2,3
1,2013,2,12,3
1,2013,2,2094,6
1,2013,3,5239,7
1,2013,3,4,13
1,2013,3,5,7
1,2013,3,8,6
1,2013,3,2,6
1,2013,3,9,3
1,2013,3,3,3
1,2013,3,12,7
1,2013,3,2,11
1,2013,3,37,3
1,2013,3,3,2
1,2013,3,43,6
1,2013,3,2294,6
1,2013,4,2775,11
1,2013,4,1,6
1,2013,4,6,6
1,2013,4,3,7
1,2013,4,3,8
1,2013,4,2,1
1,2013,4,2,7
1,2013,4,152,6
1,2013,4,1,12
1,2013,4,13,7
1,2013,4,1030,3
1,2013,5,3409,11
1,2013,5,6,8
1,2013,5,3,7
1,2013,5,4,6
1,2013,5,1,9
1,2013,5,6,11
1,2013,5,407,7
1,2013,5,3,12
1,2013,5,23,1
1,2013,5,1056,6
1,2013,6,4508,11
1,2013,6,5,6
1,2013,6,5,12
1,2013,6,2,7
1,2013,6,4,11
1,2013,6,1,12
1,2013,6,2,13
1,2013,6,639,7
1,2013,6,41,2
1,2013,6,1465,6
1,2013,7,4894,11
1,2013,7,2,7
1,2013,7,9,6
1,2013,7,1,2
1,2013,7,1,6
1,2013,7,1,11
1,2013,7,2,2
1,2013,7,3,11
1,2013,7,743,7
1,2013,7,46,7
1,2013,7,1642,11
1,2013,8,4508,11
1,2013,8,8,6
1,2013,8,6,7
1,2013,8,2,7
1,2013,8,2,7
1,2013,8,1,12
1,2013,8,692,11
1,2013,8,1,12
1,2013,8,25,7
1,2013,8,1450,7
1,2013,9,4962,11
1,2013,9,6,6
1,2013,9,2,7
1,2013,9,3,11
1,2013,9,1,7
1,2013,9,2,2
1,2013,9,697,7
1,2013,9,1,6
1,2013,9,28,7
1,2013,9,1617,7
1,2013,10,5249,11
1,2013,10,5,7
1,2013,10,8,7
1,2013,10,2,13
1,2013,10,1,2
1,2013,10,718,7
1,2013,10,43,7
1,2013,10,1644,7
1,2013,11,5688,11
1,2013,11,3,7
1,2013,11,6,7
1,2013,11,1,11
1,2013,11,3,11
1,2013,11,3,11
1,2013,11,702,7
1,2013,11,2,7
1,2013,11,28,7
1,2013,11,1710,7
1,2013,12,4758,7
1,2013,12,5,7
1,2013,12,7,6
1,2013,12,1,6
1,2013,12,1,11
1,2013,12,1,6
1,2013,12,528,7
1,2013,12,21,7
1,2013,12,1259,7
1,2013,13,3155,13
1,2013,13,1,5
1,2013,13,292,7
1,2013,13,1,1
1,2013,13,2,11
1,2013,13,665,11
1,2013,14,4356,11
1,2013,14,2,7
1,2013,14,2,11
1,2013,14,1,2
1,2013,14,2,11
1,2013,14,2,6
1,2013,14,189,6
1,2013,14,5,7
1,2013,14,4,2
1,2013,14,867,7
1,2014,-9,241,1
1,2014,-9,1,8
1,2014,-9,1,3
1,2014,-9,20,11
1,2014,-9,3,11
1,2014,-9,100,7
1,2014,1,9631,3
1,2014,1,8,8
1,2014,1,8,3
1,2014,1,20,6
1,2014,1,3,1
1,2014,1,10,3
1,2014,1,3,3
1,2014,1,17,11
1,2014,1,5,3
1,2014,1,1,3
1,2014,1,3,3
1,2014,1,3732,3
1,2014,2,4748,1
1,2014,2,7,3
1,2014,2,7,3
1,2014,2,7,6
1,2014,2,6,7
1,2014,2,12,3
1,2014,2,2,6
1,2014,2,14,3
1,2014,2,2,2
1,2014,2,11,2
1,2014,2,2,2
1,2014,2,3,7
1,2014,2,2204,3
1,2014,3,5215,-9
1,2014,3,2,6
1,2014,3,2,9
1,2014,3,18,7
1,2014,3,2,8
1,2014,3,5,7
1,2014,3,5,3
1,2014,3,9,6
1,2014,3,4,1
1,2014,3,28,7
1,2014,3,3,3
1,2014,3,22,1
1,2014,3,2458,4
1,2014,4,2442,6
1,2014,4,2,6
1,2014,4,10,9
1,2014,4,7,11
1,2014,4,6,7
1,2014,4,2,2
1,2014,4,1,12
1,2014,4,2,7
1,2014,4,163,6
1,2014,4,1,8
1,2014,4,15,7
1,2014,4,991,7
1,2014,5,3108,1
1,2014,5,1,6
1,2014,5,1,7
1,2014,5,3,7
1,2014,5,2,11
1,2014,5,3,6
1,2014,5,365,11
1,2014,5,1,6
1,2014,5,27,7
1,2014,5,1079,9
1,2014,6,4203,11
1,2014,6,9,6
1,2014,6,5,7
1,2014,6,4,11
1,2014,6,1,11
1,2014,6,3,6
1,2014,6,1,11
1,2014,6,582,7
1,2014,6,1,1
1,2014,6,46,11
1,2014,6,1445,7
1,2014,7,4436,12
1,2014,7,2,7
1,2014,7,9,11
1,2014,7,2,13
1,2014,7,1,11
1,2014,7,1,6
1,2014,7,2,7
1,2014,7,1,11
1,2014,7,656,6
1,2014,7,44,7
1,2014,7,1657,11
1,2014,8,4340,-9
1,2014,8,3,6
1,2014,8,7,7
1,2014,8,2,6
1,2014,8,1,11
1,2014,8,3,7
1,2014,8,1,11
1,2014,8,689,2
1,2014,8,1,6
1,2014,8,33,6
1,2014,8,1551,6
1,2014,9,4452,6
1,2014,9,5,6
1,2014,9,4,12
1,2014,9,1,11
1,2014,9,1,12
1,2014,9,2,2
1,2014,9,663,6
1,2014,9,24,6
1,2014,9,1646,6
1,2014,10,4668,7
1,2014,10,1,7
1,2014,10,4,11
1,2014,10,1,11
1,2014,10,3,12
1,2014,10,1,11
1,2014,10,2,2
1,2014,10,1,2
1,2014,10,683,7
1,2014,10,44,7
1,2014,10,1637,6
1,2014,11,5281,1
1,2014,11,4,7
1,2014,11,5,7
