YEAR,AGE,CASES_PER_YEAR
2013,1,804391
2013,2,400275
2013,3,432053
2013,4,266953
2013,5,324783
2013,6,439450
2013,7,443557
2013,8,381308
2013,9,405575
2013,10,434299
2013,11,442830
2013,12,336493
2013,13,203152
2013,14,227318
2014,1,830205
2014,2,406621
2014,3,426793
2014,4,252452
2014,5,329217
2014,6,452711
2014,7,460821
2014,8,397593
2014,9,407232
2014,10,435145
2014,11,461774
2014,12,361914
2014,13,220931
2014,14,242292
2015,1,710218
2015,2,365575
2015,3,397375
2015,4,225987
2015,5,295607
2015,6,417701
2015,7,424153
2015,8,376776
2015,9,359524
2015,10,381263
2015,11,418532
2015,12,342091
2015,13,215245
2015,14,223776
2016,1,789251
2016,2,389678
2016,3,429913
2016,4,249782
2016,5,322752
2016,6,470144
2016,7,466241
2016,8,421852
2016,9,376884
2016,10,404817
2016,11,442110
2016,12,376597
2016,13,242538
2016,14,251703
2017,1,814582
2017,2,405355
2017,3,450174
2017,4,273838
2017,5,353443
2017,6,536939
2017,7,521614
2017,8,481177
2017,9,405028
2017,10,434899
2017,11,466051
2017,12,418444
2017,13,278848
2017,14,322368
2018,1,900550
2018,2,446398
2018,3,476763
2018,4,293541
2018,5,360154
2018,6,557767
2018,7,536503
2018,8,501450
2018,9,411921
2018,10,432212
2018,11,454141
2018,12,429784
2018,13,297169
2018,14,320239
2019,1,919127
2019,2,478402
2019,3,493683
2019,4,309870
2019,5,366765
2019,6,568784
2019,7,547905
2019,8,509572
2019,9,416564
2019,10,418903
2019,11,434714
2019,12,428903
2019,13,307316
2019,14,341562
2020,1,928763
2020,2,497049
2020,3,501395
2020,4,326764
2020,5,400689
2020,6,618351
2020,7,610365
2020,8,562451
2020,9,464634
2020,10,436800
2020,11,449197
2020,12,454702
2020,13,338527
2020,14,392248
2021,1,815910
2021,2,468440
2021,3,477303
2021,4,317762
2021,5,384669
2021,6,580119
2021,7,590969
2021,8,527892
2021,9,448686
2021,10,391013
2021,11,408704
2021,12,416664
2021,13,329534
2021,14,380169
2022,1,825176
2022,2,509500
2022,3,526143
2022,4,350917
2022,5,420752
2022,6,612827
2022,7,650905
2022,8,571184
2022,9,495144
2022,10,405314
2022,11,422847
2022,12,423482
2022,13,354307
2022,14,414140
2023,1,833690
2023,2,511537
2023,3,543032
2023,4,354382
2023,5,421321
2023,6,598836
2023,7,659153
2023,8,577313
2023,9,507480
2023,10,404937
2023,11,412237
2023,12,407541
2023,13,357827
2023,14,441242
