state,perc_employment,perc_cases,employment,cases,population
Alabama,53.5882660974838,2.02407151354453,2692424.0,101695,5024279
Arizona,53.9011385300598,2.37519335099116,3854741.0,169862,7151502
Arkansas,55.0622209884431,1.97913083209697,1658212.0,59602,3011524
California,60.8966821801779,1.70953813478163,24077466.0,675921,39538223
Colorado,66.819745487913,2.57839234849527,3857981.0,148869,5773714
Connecticut,64.1847183428251,2.15990597746388,2314465.0,77885,3605944
Delaware,60.3083192248482,0.889137611268471,597021.0,8802,989948
Florida,58.2974602272698,0.862463493329313,12556216.0,185759,21538187
Hawaii,63.5175166687167,0.625106938845067,924352.0,9097,1455271
Idaho,56.6246317504266,0.416887335477129,1041387.0,7667,1839106
Illinois,61.5592077137389,0.517396163986706,7880803.0,66237,12801989
Indiana,58.4143783652503,2.0239692474926,3963724.0,137337,6785528
Iowa,63.4703155871594,5.31880880885776,2076505.0,174011,3271616
Kentucky,56.508448154793,3.46717013224627,2546178.0,156225,4505836
Louisiana,58.5103731259488,0.493842851827607,2725271.0,23002,4657757
Maryland,60.7543615060746,3.43050535321368,3752933.0,211910,6177224
Massachusetts,69.0625081348756,0.131566275960299,4855037.0,9249,7029917
Michigan,56.7126553647985,2.28675628497268,5715122.0,230444,10077331
Minnesota,66.1866988732486,4.72132275964892,3776940.0,269422,5706494
Mississippi,54.1296176415664,2.8677811175509,1602929.0,84923,2961279
Missouri,61.3716229620142,1.18812402384892,3777370.0,73128,6154913
Montana,63.0905024326132,5.64818188106712,684043.0,61239,1084225
Nebraska,67.8262700458424,1.02028851330408,1330415.0,20013,1961504
Nevada,59.5529750236261,0.4272028664433,1848890.0,13263,3104614
New Jersey,59.74878442165,3.45525037479839,5550061.0,320958,9288994
New Mexico,52.4474834263823,7.06013916266277,1110587.0,149500,2117522
New York,62.6452503011076,0.279853983285885,12655123.0,56534,20201249
North Carolina,58.007777850579,0.86390121719779,6055657.0,90186,10439388
North Dakota,74.239693798181,0.921839983365293,578397.0,7182,779094
Ohio,59.8958527551458,3.80682214964632,7067380.0,449184,11799448
Oklahoma,58.3999709043371,2.21038639393861,2312261.0,87517,3959353
Oregon,60.6540884006064,3.17908571018603,2570069.0,134706,4237256
Pennsylvania,59.7067378313735,3.75353580410223,7763488.0,488061,13002700
South Carolina,55.5579890298285,1.64781158266459,2843694.0,84342,5118425
South Dakota,68.8171545800171,1.72669108019132,610179.0,15310,886667
Tennessee,59.6194239774036,0.926645675489521,4120203.0,64039,6910840
Texas,60.4171518043691,0.922152489723544,17608884.0,268766,29145505
Utah,64.559111504268,1.50750571280098,2069738.0,48330,3205958
Vermont,68.0573243950569,4.51672194776053,437661.0,29046,643077
Virginia,61.3929756181882,1.35872622182769,5299069.0,117277,8631393
Washington,58.8926218265109,1.10681232780479,4537842.0,85283,7705281
Wisconsin,63.1366482074643,1.08030279019118,3721096.0,63670,5893718
Wyoming,70.1378692244618,2.73398156543024,404591.0,15771,576851
