state,YEAR,COUNT_STATE,HomelessPopulationTotal_2024
Alabama,2023,92197,4601
Alaska,2023,10517,2686
Arizona,2023,436829,14737
Arkansas,2023,66396,2783
California,2023,637179,187084
Colorado,2023,127628,18715
Connecticut,2023,93942,3410
Delaware,2023,17237,1358
District of Columbia,2023,41602,5616
Florida,2023,363731,31362
Georgia,2023,118972,12290
Hawaii,2023,9586,11637
Idaho,2023,14782,2750
Illinois,2023,27103,25832
Indiana,2023,144623,6285
Iowa,2023,308139,2631
Kansas,2023,39981,2793
Kentucky,2023,144980,5231
Louisiana,2023,44129,3469
Maryland,2023,260133,6069
Massachusetts,2023,25399,29360
Michigan,2023,295361,9739
Minnesota,2023,378557,9201
Mississippi,2023,125196,1041
Missouri,2023,67448,7312
Montana,2023,76988,2008
Nebraska,2023,19525,2720
Nevada,2023,15965,10106
New Hampshire,2023,43584,2245
New Jersey,2023,412907,12762
New Mexico,2023,214434,4631
New York,2023,47560,158019
North Carolina,2023,89694,11626
North Dakota,2023,10437,865
Ohio,2023,92622,11759
Oklahoma,2023,125410,5467
Oregon,2023,183132,22875
Pennsylvania,2023,524876,14088
South Carolina,2023,95160,4593
South Dakota,2023,13187,1338
Tennessee,2023,87211,8280
Texas,2023,455740,27987
Utah,2023,60351,3869
Vermont,2023,25989,3458
Virginia,2023,122409,7141
Washington,2023,305087,31554
Wisconsin,2023,68232,5049
Wyoming,2023,13303,501
