YEAR,STATEFIP,COUNT_STATE
2013,1,95223
2013,4,191055
2013,5,66608
2013,6,666062
2013,8,102146
2013,9,74973
2013,10,8045
2013,12,237935
2013,15,11967
2013,16,8309
2013,17,140457
2013,18,125366
2013,19,76441
2013,20,83050
2013,21,157054
2013,22,40811
2013,23,70772
2013,24,153502
2013,25,27849
2013,28,86770
2013,29,72921
2013,30,37287
2013,31,20560
2013,32,27120
2013,34,255502
2013,35,78374
2013,36,51773
2013,37,217130
2013,38,13032
2013,39,315255
2013,40,68502
2013,41,83004
2013,42,415706
2013,44,22060
2013,45,76678
2013,46,14383
2013,47,87060
2013,48,235174
2013,49,41315
2013,50,20392
2013,51,103884
2013,53,129236
2013,55,89036
2013,56,16214
2013,99,101
2014,1,94083
2014,4,158147
2014,5,64213
2014,6,690408
2014,8,113546
2014,9,79091
2014,10,9092
2014,11,22926
2014,12,165176
2014,15,11888
2014,16,4466
2014,17,139679
2014,18,128368
2014,19,84733
2014,20,51513
2014,21,153806
2014,22,44214
2014,24,164981
2014,25,30025
2014,27,196868
2014,28,47219
2014,29,71868
2014,30,38770
2014,31,20897
2014,32,26578
2014,34,250241
2014,35,86986
2014,36,52181
2014,37,211849
2014,38,12831
2014,39,361211
2014,40,72136
2014,41,78900
2014,42,482585
2014,44,19064
2014,45,78274
2014,46,14743
2014,47,105338
2014,48,233776
2014,49,42252
2014,50,18535
2014,51,106810
2014,53,65031
2014,55,91660
2014,56,16705
2014,72,54
2014,99,75
2015,1,101305
2015,4,155100
2015,5,65555
2015,6,691155
2015,8,107948
2015,9,62569
2015,10,8590
2015,11,26420
2015,12,177417
2015,15,9880
2015,16,3276
2015,17,129996
2015,18,133292
2015,19,96692
2015,21,155648
2015,22,40983
2015,24,180276
2015,25,31022
2015,27,215348
2015,28,83119
2015,29,72319
2015,30,40759
2015,31,18011
2015,32,25005
2015,34,243422
2015,35,105156
2015,36,52873
2015,37,218361
2015,38,12868
2015,39,389414
2015,40,65794
2015,41,95464
2015,44,15841
2015,45,80113
2015,46,15837
2015,47,87823
2015,48,175633
2015,49,44446
2015,50,16691
2015,51,109865
2015,53,70821
2015,55,65528
2015,56,17280
2015,72,141
2015,99,67
2016,1,94533
2016,4,175840
2016,5,67965
2016,6,642494
2016,8,109885
2016,9,64000
2016,10,6479
2016,11,26197
2016,12,178478
2016,15,9394
2016,16,7278
2016,17,17324
2016,18,135062
2016,19,105796
2016,21,148396
2016,22,23569
2016,24,184895
2016,25,10056
2016,27,238763
2016,28,81128
2016,29,68807
2016,30,31106
2016,31,16920
2016,32,13861
2016,34,16772
2016,35,126002
2016,36,55837
2016,37,90822
2016,38,9854
2016,39,412118
2016,40,82899
2016,41,126020
2016,42,460504
2016,44,23666
2016,45,79913
2016,46,15167
2016,47,76068
2016,48,255712
2016,49,47714
2016,50,20118
2016,51,111237
2016,53,62078
2016,55,69410
2016,56,17238
2016,72,139
2016,99,258
2017,1,98315
2017,4,150419
2017,5,69236
2017,6,578922
2017,8,145379
2017,9,78543
2017,10,7625
2017,11,29625
2017,12,181039
2017,15,9099
2017,16,7661
2017,17,70802
2017,18,137591
2017,19,55800
2017,21,153342
2017,22,25560
2017,23,18855
2017,24,200329
2017,25,13173
2017,26,178094
2017,27,245172
2017,28,61880
2017,29,74021
2017,30,49274
2017,31,19218
2017,32,14249
2017,34,308859
2017,35,144055
2017,36,56581
2017,37,132239
2017,38,8016
2017,39,432983
2017,40,85138
2017,41,126410
2017,42,499313
2017,44,24684
2017,45,80489
2017,46,14717
2017,47,63388
2017,48,264246
2017,49,48506
2017,50,21017
2017,51,113580
2017,53,75951
2017,55,57392
2017,56,16665
2017,72,1667
2017,99,234
2018,1,101695
2018,4,169862
2018,5,59602
2018,6,675921
2018,8,148869
2018,9,77885
2018,10,8802
2018,11,35830
2018,12,185759
2018,15,9097
2018,16,7667
2018,17,66237
2018,18,137337
2018,19,174011
2018,21,156225
2018,22,23002
2018,24,211910
2018,25,9249
2018,26,230444
2018,27,269422
2018,28,84923
2018,29,73128
2018,30,61239
2018,31,20013
2018,32,13263
2018,34,320958
2018,35,149500
2018,36,56534
2018,37,90186
2018,38,7182
2018,39,449184
2018,40,87517
2018,41,134706
2018,42,488061
2018,44,23920
2018,45,84342
2018,46,15310
2018,47,64039
2018,48,268766
2018,49,48330
2018,50,29046
2018,51,117277
2018,53,85283
2018,54,42984
2018,55,63670
2018,56,15771
2018,72,2669
2018,99,278
2019,1,102998
2019,2,10850
2019,5,60109
2019,6,701269
2019,8,135408
2019,9,45729
2019,10,10467
2019,11,36588
2019,12,174330
2019,15,8602
2019,16,7421
2019,17,45442
2019,18,138836
2019,19,203180
2019,21,164785
2019,22,20333
2019,24,223895
2019,25,8557
2019,26,227195
2019,27,261644
2019,28,86884
2019,29,76963
2019,30,70761
2019,31,20628
2019,32,12942
2019,34,320679
2019,35,203017
2019,36,56182
2019,37,97747
2019,38,8939
2019,39,574476
2019,40,91952
2019,41,141300
2019,42,503931
2019,44,28305
2019,45,94854
2019,46,15148
2019,47,65194
2019,48,281114
2019,49,48484
2019,50,29240
2019,51,120782
2019,53,122067
2019,55,66535
2019,56,16259
2019,72,3582
2019,99,397
2020,1,97473
2020,2,10202
2020,4,350300
2020,5,73611
2020,6,656746
2020,8,126315
2020,9,41625
2020,10,10559
2020,11,35161
2020,12,244240
2020,13,140657
2020,15,6083
2020,16,7082
2020,17,39267
2020,18,137905
2020,19,56738
2020,20,139114
2020,21,153854
2020,22,17526
2020,25,6898
2020,26,217661
2020,27,284601
2020,28,101461
2020,29,75768
2020,30,73240
2020,31,21981
2020,32,13036
2020,34,315988
2020,35,179605
2020,36,54840
2020,37,99827
2020,38,9341
2020,39,429022
2020,40,94809
2020,41,145349
2020,42,514459
2020,44,27901
2020,45,95263
2020,46,14789
2020,47,62819
2020,48,283773
2020,49,50333
2020,50,24940
2020,51,122981
2020,53,164048
2020,55,68646
2020,56,15765
2020,72,2950
2020,99,434
2021,1,94650
2021,2,9539
2021,4,381254
2021,5,72813
2021,6,599099
2021,8,140775
2021,9,41338
2021,10,12362
2021,11,39037
2021,13,130402
2021,15,8958
2021,16,5264
2021,17,29450
2021,18,141475
2021,19,206207
2021,20,60635
2021,21,145431
2021,22,19413
2021,24,221024
2021,25,11137
2021,26,273391
2021,27,277766
2021,28,95144
2021,29,80290
2021,30,71160
2021,31,20269
2021,32,11957
2021,33,35381
2021,34,318424
2021,35,199769
2021,36,46782
2021,37,93716
2021,38,8526
2021,40,97229
2021,41,158837
2021,42,495399
2021,44,27047
2021,45,93376
2021,46,14603
2021,47,66321
2021,48,291918
2021,49,51915
2021,50,25042
2021,51,121476
2021,53,191943
2021,54,12824
2021,55,63014
2021,56,13785
2021,72,3393
2021,99,545
2022,1,92316
2022,2,9276
2022,4,405581
2022,5,69237
2022,6,532188
2022,8,129521
2022,9,43239
2022,10,11722
2022,11,28698
2022,12,287975
2022,13,124378
2022,15,8621
2022,16,5506
2022,17,27100
2022,18,143314
2022,19,203951
2022,20,55591
2022,21,148817
2022,22,20138
2022,24,239266
2022,25,11137
2022,26,254852
2022,27,308513
2022,28,111296
2022,29,73969
2022,30,79155
2022,31,17485
2022,32,9125
2022,33,40502
2022,34,306179
2022,35,212703
2022,36,47386
2022,37,88939
2022,38,7797
2022,39,73524
2022,40,104990
2022,41,171517
2022,42,468380
2022,44,27712
2022,45,94799
2022,46,17377
2022,47,44156
2022,48,292460
2022,49,54685
2022,50,24492
2022,51,119327
2022,53,236110
2022,54,11166
2022,55,63643
2022,56,13608
2022,72,2579
2022,99,530
2023,1,90116
2023,2,10240
2023,4,428307
2023,5,63876
2023,6,566762
2023,8,125200
2023,9,72562
2023,10,11986
2023,11,30111
2023,12,306481
2023,13,118954
2023,15,8619
2023,16,5209
2023,17,26816
2023,18,143255
2023,19,226499
2023,20,39115
2023,21,143280
2023,22,21940
2023,24,256769
2023,25,12879
2023,26,276698
2023,27,345050
2023,28,123792
2023,29,66396
2023,30,75802
2023,31,15599
2023,32,7635
2023,33,39020
2023,34,313775
2023,35,211615
2023,36,46720
2023,37,82484
2023,38,6880
2023,39,91395
2023,40,104093
2023,41,179486
2023,42,459646
2023,44,26384
2023,45,91747
2023,46,11796
2023,47,49636
2023,48,294552
2023,49,54906
2023,50,23347
2023,51,116906
2023,53,238855
2023,54,6082
2023,55,61187
2023,56,12482
2023,72,3385
2023,99,453
