state,YEAR,COUNT_STATE,population,AttainedLessThanHighSchoolGraduate_2023,AttainedLessThanHighSchoolGraduate_2023
Alabama,2023,92197,5025369,3.5,3.5
Alaska,2023,10517,733395,2.3,2.3
Arizona,2023,436829,7158110,4.6,4.6
Arkansas,2023,66396,3011553,3.9,3.9
California,2023,637179,39555674,8.7,8.7
Colorado,2023,127628,5775324,2.9,2.9
Connecticut,2023,93942,3607701,3.7,3.7
Delaware,2023,17237,989955,3.3,3.3
District of Columbia,2023,83204,689545,3.3,3.3
Florida,2023,363731,21538192,4.1,4.1
Georgia,2023,118972,10713755,4.3,4.3
Hawaii,2023,9586,1455252,2.9,2.9
Idaho,2023,14782,1839140,3.0,3.0
Illinois,2023,27103,12821814,4.5,4.5
Indiana,2023,144623,6786587,3.6,3.6
Iowa,2023,308139,3190546,2.9,2.9
Kansas,2023,39981,2937745,3.3,3.3
Kentucky,2023,144980,4506302,4.1,4.1
Louisiana,2023,44129,4657874,4.3,4.3
Maryland,2023,260133,6181629,4.1,4.1
Massachusetts,2023,25399,7033132,4.4,4.4
Michigan,2023,295361,10079338,2.6,2.6
Minnesota,2023,378557,5706692,2.5,2.5
Mississippi,2023,125196,2961278,4.1,4.1
Missouri,2023,67448,6154854,2.6,2.6
Montana,2023,76988,1084216,1.8,1.8
Nebraska,2023,19525,1961996,3.7,3.7
Nevada,2023,15965,3105595,5.5,5.5
New Hampshire,2023,43584,1377546,1.7,1.7
New Jersey,2023,412907,9289014,4.7,4.7
New Mexico,2023,214434,2117555,5.8,5.8
New York,2023,47560,20203772,5.8,5.8
North Carolina,2023,89694,10441499,3.7,3.7
North Dakota,2023,10437,779046,2.0,2.0
Ohio,2023,92622,11799453,2.7,2.7
Oklahoma,2023,125410,3959405,3.9,3.9
Oregon,2023,183132,4237224,3.2,3.2
Pennsylvania,2023,524876,13002909,2.8,2.8
South Carolina,2023,95160,5118252,3.3,3.3
South Dakota,2023,13187,886729,2.5,2.5
Tennessee,2023,87211,6912347,3.9,3.9
Texas,2023,455740,29149458,7.1,7.1
Utah,2023,60351,3271608,2.9,2.9
Vermont,2023,25989,643082,1.5,1.5
Virginia,2023,122409,8631388,3.5,3.5
Washington,2023,305087,7707586,3.2,3.2
Wisconsin,2023,68232,5894170,2.4,2.4
Wyoming,2023,13303,576844,2.1,2.1
