STATEFIP,cases,STATEFIP,EMPLOY,count_profession,profession_variance,cases_variance
1,92197,1,-9,43195,-39491.9615384615,-43103.7884615385
1,92197,1,1,6925,-2023.08510638298,-43103.7884615385
1,92197,1,2,2981,-1670.04347826087,-43103.7884615385
1,92197,1,4,11008,-4314.43137254902,-43103.7884615385
1,92197,1,5,28088,4771.64705882353,-43103.7884615385
2,10517,2,-9,3465,-79221.9615384615,-124783.788461538
2,10517,2,1,2003,-6945.08510638298,-124783.788461538
2,10517,2,2,884,-3767.04347826087,-124783.788461538
2,10517,2,4,890,-14432.431372549,-124783.788461538
2,10517,2,5,3275,-20041.3529411765,-124783.788461538
4,436829,4,-9,367485,284798.038461538,301528.211538462
4,436829,4,1,14826,5877.91489361702,301528.211538462
4,436829,4,2,7429,2777.95652173913,301528.211538462
4,436829,4,3,3021,-3864.94736842105,301528.211538462
4,436829,4,4,24347,9024.56862745098,301528.211538462
4,436829,4,5,19721,-3595.35294117647,301528.211538462
5,66396,5,-9,27483,-55203.9615384615,-68904.7884615385
5,66396,5,3,8944,2058.05263157895,-68904.7884615385
5,66396,5,4,12957,-2365.43137254902,-68904.7884615385
5,66396,5,5,17012,-6304.35294117647,-68904.7884615385
6,637179,6,-9,524999,442312.038461538,501878.211538462
6,637179,6,1,12633,3684.91489361702,501878.211538462
6,637179,6,2,13806,9154.95652173913,501878.211538462
6,637179,6,4,26840,11517.568627451,501878.211538462
6,637179,6,5,58901,35584.6470588235,501878.211538462
8,127628,8,-9,27117,-55569.9615384615,-7672.78846153847
8,127628,8,1,21198,12249.914893617,-7672.78846153847
8,127628,8,2,13634,8982.95652173913,-7672.78846153847
8,127628,8,4,31583,16260.568627451,-7672.78846153847
8,127628,8,5,34096,10779.6470588235,-7672.78846153847
9,93942,9,-9,55230,-27456.9615384615,-41358.7884615385
9,93942,9,1,6295,-2653.08510638298,-41358.7884615385
9,93942,9,2,4907,255.95652173913,-41358.7884615385
9,93942,9,3,9,-6876.94736842105,-41358.7884615385
9,93942,9,4,8073,-7249.43137254902,-41358.7884615385
9,93942,9,5,19428,-3888.35294117647,-41358.7884615385
10,17237,10,-9,6768,-75918.9615384615,-118063.788461538
10,17237,10,1,1654,-7294.08510638298,-118063.788461538
10,17237,10,2,716,-3935.04347826087,-118063.788461538
10,17237,10,4,2010,-13312.431372549,-118063.788461538
10,17237,10,5,6089,-17227.3529411765,-118063.788461538
11,41602,11,-9,12760,-69926.9615384615,-93698.7884615385
11,41602,11,1,2502,-6446.08510638298,-93698.7884615385
11,41602,11,2,2437,-2214.04347826087,-93698.7884615385
11,41602,11,4,17643,2320.56862745098,-93698.7884615385
11,41602,11,5,6260,-17056.3529411765,-93698.7884615385
12,363731,12,-9,91219,8532.03846153847,228430.211538462
12,363731,12,1,46675,37726.914893617,228430.211538462
12,363731,12,2,25083,20431.9565217391,228430.211538462
12,363731,12,4,134459,119136.568627451,228430.211538462
12,363731,12,5,66295,42978.6470588235,228430.211538462
13,118972,13,-9,59059,-23627.9615384615,-16328.7884615385
13,118972,13,1,9393,444.91489361702,-16328.7884615385
13,118972,13,2,6017,1365.95652173913,-16328.7884615385
13,118972,13,4,44462,29139.568627451,-16328.7884615385
13,118972,13,5,41,-23275.3529411765,-16328.7884615385
15,9586,15,-9,8447,-74239.9615384615,-125714.788461538
15,9586,15,1,11,-8937.08510638298,-125714.788461538
15,9586,15,2,26,-4625.04347826087,-125714.788461538
15,9586,15,3,122,-6763.94736842105,-125714.788461538
15,9586,15,4,281,-15041.431372549,-125714.788461538
15,9586,15,5,699,-22617.3529411765,-125714.788461538
16,14782,16,-9,2329,-80357.9615384615,-120518.788461538
16,14782,16,1,359,-8589.08510638298,-120518.788461538
16,14782,16,2,170,-4481.04347826087,-120518.788461538
16,14782,16,4,756,-14566.431372549,-120518.788461538
16,14782,16,5,11168,-12148.3529411765,-120518.788461538
17,27103,17,-9,9251,-73435.9615384615,-108197.788461538
17,27103,17,1,1049,-7899.08510638298,-108197.788461538
17,27103,17,2,1549,-3102.04347826087,-108197.788461538
17,27103,17,3,845,-6040.94736842105,-108197.788461538
17,27103,17,4,5518,-9804.43137254902,-108197.788461538
17,27103,17,5,8891,-14425.3529411765,-108197.788461538
18,144623,18,-9,83169,482.038461538468,9322.21153846153
