field1,TOTAL,STATEFIP,state,2020_census,stateFlagCode,state,AttainedGraduateOrProfessionalDegree_2023,AttainedBachelorsDegree_2023,AttainedAssociatesDegree_2023,AttainedHighSchoolGraduateOrEquivalent_2023,AttainedLessThanHighSchoolGraduate_2023
0,101695,1,Alabama,5024279,,Alabama,11.3,28.9,9.2,30.1,3.5
1,169862,4,Arizona,7151502,,Arizona,13.1,33.5,9.1,23.4,4.6
2,59602,5,Arkansas,3011524,,Arkansas,9.5,26.2,8.5,34.2,3.9
3,675921,6,California,39538223,,California,14.7,37.5,7.8,20.4,8.7
4,148869,8,Colorado,5773714,,Colorado,18.1,46.4,8.2,19.3,2.9
5,77885,9,Connecticut,3605944,,Connecticut,19.8,42.9,7.8,25.5,3.7
6,8802,10,Delaware,989948,,Delaware,15.5,36.5,8.2,28.5,3.3
7,185759,12,Florida,21538187,,Florida,13.3,34.9,10.1,26.8,4.1
8,9097,15,Hawaii,1455271,,Hawaii,13.9,37.0,11.0,26.3,2.9
9,7667,16,Idaho,1839106,,Idaho,10.6,32.1,9.5,25.9,3.0
10,66237,17,Illinois,12801989,,Illinois,15.5,38.3,8.1,25.3,4.5
11,137337,18,Indiana,6785528,,Indiana,11.1,30.2,9.2,32.2,3.6
12,174011,19,Iowa,3271616,,Iowa,10.7,31.5,12.2,29.9,2.9
13,156225,21,Kentucky,4505836,,Kentucky,11.5,27.8,9.2,33.0,4.1
14,23002,22,Louisiana,4657757,,Louisiana,10.1,27.0,7.5,33.1,4.3
15,211910,24,Maryland,6177224,,Maryland,21.3,43.7,7.0,23.9,4.1
16,9249,25,Massachusetts,7029917,,Massachusetts,22.4,47.8,7.3,22.8,4.4
17,230444,26,Michigan,10077331,,Michigan,12.8,32.7,9.7,27.7,2.6
18,269422,27,Minnesota,5706494,,Minnesota,14,40.0,11.9,23.3,2.5
19,84923,28,Mississippi,2961279,,Mississippi,10,25.5,11.2,29.4,4.1
20,73128,29,Missouri,6154913,,Missouri,13,33.2,8.7,29.4,2.6
21,61239,30,Montana,1084225,,Montana,12,34.6,10.4,28.0,1.8
22,20013,31,Nebraska,1961504,,Nebraska,12.4,35.3,11.4,24.8,3.7
23,13263,32,Nevada,3104614,,Nevada,10,28.7,8.8,26.8,5.5
24,320958,34,New Jersey,9288994,,New Jersey,17.5,43.8,6.8,25.2,4.7
25,149500,35,New Mexico,2117522,,New Mexico,14.1,31.6,9.1,25.1,5.8
26,56534,36,New York,20201249,,New York,18.1,40.6,9.0,24.2,5.8
27,90186,37,North Carolina,10439388,,North Carolina,13.8,36.8,10.1,24.5,3.7
28,7182,38,North Dakota,779094,,North Dakota,10.2,33.6,13.8,24.3,2.0
29,449184,39,Ohio,11799448,,Ohio,12.7,32.0,9.2,31.8,2.7
30,87517,40,Oklahoma,3959353,,Oklahoma,10.1,28.7,8.3,30.6,3.9
31,134706,41,Oregon,4237256,,Oregon,14.2,37.7,9.3,22.1,3.2
32,488061,42,Pennsylvania,13002700,,Pennsylvania,14.4,35.3,8.9,33.1,2.8
33,84342,45,South Carolina,5118425,,South Carolina,12.5,32.9,9.6,28.2,3.3
34,15310,46,South Dakota,886667,,South Dakota,10.4,33.3,12.1,27.7,2.5
35,64039,47,Tennessee,6910840,,Tennessee,12.4,31.7,8.0,31.0,3.9
36,268766,48,Texas,29145505,,Texas,12.6,34.2,8.1,24.2,7.1
37,48330,49,Utah,3205958,,Utah,13.8,38.4,9.7,22.2,2.9
38,29046,50,Vermont,643077,,Vermont,18.5,43.7,8.8,27.1,1.5
39,117277,51,Virginia,8631393,,Virginia,18.5,42.4,7.7,24.1,3.5
40,85283,53,Washington,7705281,,Washington,16.1,40.5,9.8,21.6,3.2
41,63670,55,Wisconsin,5893718,,Wisconsin,11.5,33.8,11.2,29.5,2.4
42,15771,56,Wyoming,576851,,Wyoming,11.2,30.4,11.6,27.5,2.1
