field1,TOTAL,STATEFIP,state,2020_census,Notes,States,States Code,Race,Race Code,Population
0,101695,1,Alabama,5024279,,Alabama,1,American Indian or Alaska Native,1002-5,38281
0,101695,1,Alabama,5024279,,Alabama,1,Asian,A,81665
0,101695,1,Alabama,5024279,,Alabama,1,Black or African American,2054-5,1360275
0,101695,1,Alabama,5024279,,Alabama,1,More than one race,M,102696
0,101695,1,Alabama,5024279,,Alabama,1,Native Hawaiian or Other Pacific Islander,NHOPI,6075
0,101695,1,Alabama,5024279,,Alabama,1,White,2106-3,3519476
0,101695,1,Alabama,5024279,Total,Alabama,1,,,5108468
1,169862,4,Arizona,7151502,,Arizona,4,American Indian or Alaska Native,1002-5,383596
1,169862,4,Arizona,7151502,,Arizona,4,Asian,A,303691
1,169862,4,Arizona,7151502,,Arizona,4,Black or African American,2054-5,422598
1,169862,4,Arizona,7151502,,Arizona,4,More than one race,M,243101
1,169862,4,Arizona,7151502,,Arizona,4,Native Hawaiian or Other Pacific Islander,NHOPI,21999
1,169862,4,Arizona,7151502,,Arizona,4,White,2106-3,6056359
1,169862,4,Arizona,7151502,Total,Arizona,4,,,7431344
2,59602,5,Arkansas,3011524,,Arkansas,5,American Indian or Alaska Native,1002-5,34691
2,59602,5,Arkansas,3011524,,Arkansas,5,Asian,A,57743
2,59602,5,Arkansas,3011524,,Arkansas,5,Black or African American,2054-5,478247
2,59602,5,Arkansas,3011524,,Arkansas,5,More than one race,M,76251
2,59602,5,Arkansas,3011524,,Arkansas,5,Native Hawaiian or Other Pacific Islander,NHOPI,15064
2,59602,5,Arkansas,3011524,,Arkansas,5,White,2106-3,2405736
2,59602,5,Arkansas,3011524,Total,Arkansas,5,,,3067732
3,675921,6,California,39538223,,California,6,American Indian or Alaska Native,1002-5,677414
3,675921,6,California,39538223,,California,6,Asian,A,6437876
3,675921,6,California,39538223,,California,6,Black or African American,2054-5,2528093
3,675921,6,California,39538223,,California,6,More than one race,M,1689132
3,675921,6,California,39538223,,California,6,Native Hawaiian or Other Pacific Islander,NHOPI,204965
3,675921,6,California,39538223,,California,6,White,2106-3,27427713
3,675921,6,California,39538223,Total,California,6,,,38965193
4,148869,8,Colorado,5773714,,Colorado,8,American Indian or Alaska Native,1002-5,98655
4,148869,8,Colorado,5773714,,Colorado,8,Asian,A,225455
4,148869,8,Colorado,5773714,,Colorado,8,Black or African American,2054-5,282708
4,148869,8,Colorado,5773714,,Colorado,8,More than one race,M,205318
4,148869,8,Colorado,5773714,,Colorado,8,Native Hawaiian or Other Pacific Islander,NHOPI,13489
4,148869,8,Colorado,5773714,,Colorado,8,White,2106-3,5051985
4,148869,8,Colorado,5773714,Total,Colorado,8,,,5877610
5,77885,9,Connecticut,3605944,,Connecticut,9,American Indian or Alaska Native,1002-5,28169
5,77885,9,Connecticut,3605944,,Connecticut,9,Asian,A,187721
5,77885,9,Connecticut,3605944,,Connecticut,9,Black or African American,2054-5,473626
5,77885,9,Connecticut,3605944,,Connecticut,9,More than one race,M,101484
5,77885,9,Connecticut,3605944,,Connecticut,9,Native Hawaiian or Other Pacific Islander,NHOPI,4330
5,77885,9,Connecticut,3605944,,Connecticut,9,White,2106-3,2821846
5,77885,9,Connecticut,3605944,Total,Connecticut,9,,,3617176
6,8802,10,Delaware,989948,,Delaware,10,American Indian or Alaska Native,1002-5,7565
6,8802,10,Delaware,989948,,Delaware,10,Asian,A,45629
6,8802,10,Delaware,989948,,Delaware,10,Black or African American,2054-5,248434
6,8802,10,Delaware,989948,,Delaware,10,More than one race,M,31971
6,8802,10,Delaware,989948,,Delaware,10,Native Hawaiian or Other Pacific Islander,NHOPI,1197
6,8802,10,Delaware,989948,,Delaware,10,White,2106-3,697094
6,8802,10,Delaware,989948,Total,Delaware,10,,,1031890
7,185759,12,Florida,21538187,,Florida,12,American Indian or Alaska Native,1002-5,129405
7,185759,12,Florida,21538187,,Florida,12,Asian,A,728225
7,185759,12,Florida,21538187,,Florida,12,Black or African American,2054-5,3829414
7,185759,12,Florida,21538187,,Florida,12,More than one race,M,561138
7,185759,12,Florida,21538187,,Florida,12,Native Hawaiian or Other Pacific Islander,NHOPI,29213
7,185759,12,Florida,21538187,,Florida,12,White,2106-3,17333331
7,185759,12,Florida,21538187,Total,Florida,12,,,22610726
8,9097,15,Hawaii,1455271,,Hawaii,15,American Indian or Alaska Native,1002-5,5639
8,9097,15,Hawaii,1455271,,Hawaii,15,Asian,A,535776
8,9097,15,Hawaii,1455271,,Hawaii,15,Black or African American,2054-5,31398
8,9097,15,Hawaii,1455271,,Hawaii,15,More than one race,M,353058
8,9097,15,Hawaii,1455271,,Hawaii,15,Native Hawaiian or Other Pacific Islander,NHOPI,147752
8,9097,15,Hawaii,1455271,,Hawaii,15,White,2106-3,361515
8,9097,15,Hawaii,1455271,Total,Hawaii,15,,,1435138
9,7667,16,Idaho,1839106,,Idaho,16,American Indian or Alaska Native,1002-5,33774
9,7667,16,Idaho,1839106,,Idaho,16,Asian,A,34265
9,7667,16,Idaho,1839106,,Idaho,16,Black or African American,2054-5,19766
9,7667,16,Idaho,1839106,,Idaho,16,More than one race,M,55631
9,7667,16,Idaho,1839106,,Idaho,16,Native Hawaiian or Other Pacific Islander,NHOPI,4701
9,7667,16,Idaho,1839106,,Idaho,16,White,2106-3,1816589
9,7667,16,Idaho,1839106,Total,Idaho,16,,,1964726
10,66237,17,Illinois,12801989,,Illinois,17,American Indian or Alaska Native,1002-5,81266
10,66237,17,Illinois,12801989,,Illinois,17,Asian,A,793760
10,66237,17,Illinois,12801989,,Illinois,17,Black or African American,2054-5,1836105
10,66237,17,Illinois,12801989,,Illinois,17,More than one race,M,289109
10,66237,17,Illinois,12801989,,Illinois,17,Native Hawaiian or Other Pacific Islander,NHOPI,8754
10,66237,17,Illinois,12801989,,Illinois,17,White,2106-3,9540695
10,66237,17,Illinois,12801989,Total,Illinois,17,,,12549689
11,137337,18,Indiana,6785528,,Indiana,18,American Indian or Alaska Native,1002-5,32050
11,137337,18,Indiana,6785528,,Indiana,18,Asian,A,197232
11,137337,18,Indiana,6785528,,Indiana,18,Black or African American,2054-5,715156
11,137337,18,Indiana,6785528,,Indiana,18,More than one race,M,168612
11,137337,18,Indiana,6785528,,Indiana,18,Native Hawaiian or Other Pacific Islander,NHOPI,5681
11,137337,18,Indiana,6785528,,Indiana,18,White,2106-3,5743468
11,137337,18,Indiana,6785528,Total,Indiana,18,,,6862199
12,174011,19,Iowa,3271616,,Iowa,19,American Indian or Alaska Native,1002-5,20215
12,174011,19,Iowa,3271616,,Iowa,19,Asian,A,87472
12,174011,19,Iowa,3271616,,Iowa,19,Black or African American,2054-5,144668
12,174011,19,Iowa,3271616,,Iowa,19,More than one race,M,71000
12,174011,19,Iowa,3271616,,Iowa,19,Native Hawaiian or Other Pacific Islander,NHOPI,8976
12,174011,19,Iowa,3271616,,Iowa,19,White,2106-3,2874673
12,174011,19,Iowa,3271616,Total,Iowa,19,,,3207004
13,156225,21,Kentucky,4505836,,Kentucky,21,American Indian or Alaska Native,1002-5,15420
13,156225,21,Kentucky,4505836,,Kentucky,21,Asian,A,81438
13,156225,21,Kentucky,4505836,,Kentucky,21,Black or African American,2054-5,396045
13,156225,21,Kentucky,4505836,,Kentucky,21,More than one race,M,105059
13,156225,21,Kentucky,4505836,,Kentucky,21,Native Hawaiian or Other Pacific Islander,NHOPI,5555
13,156225,21,Kentucky,4505836,,Kentucky,21,White,2106-3,3922637
13,156225,21,Kentucky,4505836,Total,Kentucky,21,,,4526154
14,23002,22,Louisiana,4657757,,Louisiana,22,American Indian or Alaska Native,1002-5,40512
14,23002,22,Louisiana,4657757,,Louisiana,22,Asian,A,88319
14,23002,22,Louisiana,4657757,,Louisiana,22,Black or African American,2054-5,1491010
14,23002,22,Louisiana,4657757,,Louisiana,22,More than one race,M,89750
14,23002,22,Louisiana,4657757,,Louisiana,22,Native Hawaiian or Other Pacific Islander,NHOPI,3177
14,23002,22,Louisiana,4657757,,Louisiana,22,White,2106-3,2860981
14,23002,22,Louisiana,4657757,Total,Louisiana,22,,,4573749
15,211910,24,Maryland,6177224,,Maryland,24,American Indian or Alaska Native,1002-5,47993
15,211910,24,Maryland,6177224,,Maryland,24,Asian,A,437702
15,211910,24,Maryland,6177224,,Maryland,24,Black or African American,2054-5,1950664
15,211910,24,Maryland,6177224,,Maryland,24,More than one race,M,201773
15,211910,24,Maryland,6177224,,Maryland,24,Native Hawaiian or Other Pacific Islander,NHOPI,8096
15,211910,24,Maryland,6177224,,Maryland,24,White,2106-3,3534025
15,211910,24,Maryland,6177224,Total,Maryland,24,,,6180253
16,9249,25,Massachusetts,7029917,,Massachusetts,25,American Indian or Alaska Native,1002-5,38677
